city,state,condo_coop
Aberdeen, IN,
Aberdeen, MD,100.0%
Aberdeen, SD,
Abilene, TX,
Abingdon, VA,
Abington, MA,100.9%
Absecon, NJ,96.6%
Acton, MA,98.6%
Acworth, GA,
Adams, MA,
Addison, IL,105.6%
Addison, TX,99.5%
Adel, IA,100.0%
Adelphi, MD,112.5%
Adrian, MI,95.1%
Advance, NC,100.0%
Affton, MO,
Afton, OK,
Agawam Town, MA,104.7%
Agawam, MA,104.7%
Agoura Hills, CA,99.6%
Ahuimanu, HI,98.0%
Aiea, HI,99.9%
Aiken, SC,
Airmont, NY,100.5%
Akron, OH,99.4%
Alabama,,96.7%
Alachua, FL,
Alafaya, FL,100.9%
Alameda, CA,101.1%
Alamo Heights, TX,94.2%
Alamo, CA,
Alaska,,100.0%
Albany, CA,99.8%
Albany, NY,97.4%
Albany, OR,
Albert Lea, MN,101.8%
Albertson, NY,
Alcoa, TN,96.4%
Alderwood Manor, WA,
Alexander City, AL,97.6%
Alexandria, IN,
Alexandria, KY,98.6%
Alexandria, LA,
Alexandria, MN,98.1%
Alexandria, VA,99.8%
Alfred, ME,
Algoma, WI,
Algonac, MI,
Algonquin, IL,
Algood, TN,
Alhambra, CA,99.9%
Aliquippa, PA,99.1%
Aliso Viejo, CA,101.5%
Allegan, MI,
Allen Park, MI,90.1%
Allen, TX,97.0%
Allendale, MI,99.4%
Allendale, NJ,104.2%
Allenton, WI,
Allentown, NJ,
Alliance, OH,94.6%
Allison Park, PA,96.4%
Allouez, WI,
Allyn, WA,98.2%
Aloha, OR,101.6%
Alpena, MI,
Alpharetta, GA,97.2%
Alpine, CA,100.0%
Alsip, IL,99.9%
Alta Sierra, CA,
Alta, UT,
Altadena, CA,
Altamonte Springs, FL,96.5%
Alton, IL,95.2%
Altoona, IA,97.9%
Altoona, PA,
Altoona, WI,92.7%
Altus, OK,
Alva, FL,
Ambler, PA,
Amelia, OH,99.6%
American Fork, UT,
Ames, IA,97.4%
Amesbury Town, MA,100.5%
Amesbury, MA,100.5%
Amherst Center, MA,
Amherst Town, MA,
Amherst, NH,103.1%
Amherst, NY,103.2%
Amherst, OH,
Amityville, NY,105.6%
Anacortes, WA,99.7%
Anaheim, CA,101.5%
Anamosa, IA,
Anchorage, AK,99.9%
Anchorage, KY,
Ancient Oaks, PA,
Anderson Creek, NC,97.5%
Anderson Mill, TX,95.7%
Anderson Township, OH,97.8%
Anderson, IN,98.6%
Anderson, SC,
Andersonville, TN,
Andover, KS,
Andover, MA,103.2%
Andover, MN,99.1%
Angola, IN,100.0%
Ankeny, IA,99.1%
Ann Arbor, MI,100.2%
Anna Maria, FL,92.9%
Annandale, VA,98.2%
Annapolis Neck, MD,
Annapolis, MD,98.6%
Anoka, MN,100.0%
Ansonia, CT,100.0%
Ansonville, NC,
Antelope, CA,98.2%
Antioch, CA,91.7%
Antioch, IL,
Antrim, NH,
Apache Junction, AZ,100.0%
Apex, NC,97.0%
Apollo Beach, FL,
Apopka, FL,95.1%
Apple Creek, OH,
Apple Valley, CA,
Apple Valley, MN,97.3%
Apple Valley, OH,
Appleton, WI,99.8%
Applewood, CO,
Aptos, CA,
Arbutus, MD,
Arcadia, CA,99.9%
Arcadia, FL,
Arcanum, OH,
Archbold, OH,
Archdale, NC,100.0%
Arcola, VA,
Arden Hills, MN,
Arden-Arcade, CA,98.9%
Ardmore, OK,
Ardmore, PA,96.5%
Ardsley, NY,
Arizona,,96.9%
Arkadelphia, AR,
Arkansas,,96.0%
Arlington Heights, IL,99.4%
Arlington, MA,99.6%
Arlington, NY,
Arlington, OH,
Arlington, TX,96.4%
Arlington, VA,99.2%
Arlington, WA,
Armonk, NY,99.3%
Arnold, MD,100.0%
Arnold, MO,96.4%
Arnolds Park, IA,87.3%
Arroyo Grande, CA,
Artesia, CA,
Artondale, WA,
Arvada, CO,98.5%
Asbury Park, NJ,98.4%
Ashburn, VA,99.7%
Ashburnham, MA,
Asheville, NC,97.9%
Ashland City, TN,100.0%
Ashland, CA,
Ashland, KY,
Ashland, MA,
Ashland, NH,
Ashland, NJ,98.4%
Ashland, OH,100.0%
Ashland, OR,94.4%
Ashland, VA,
Ashville, OH,
Ashwaubenon, WI,99.9%
Aspen Hill, MD,100.9%
Aspen, CO,93.7%
Aspinwall, PA,
Astoria, OR,
Atascadero, CA,98.9%
Athens, AL,
Athens, OH,
Athens, TN,
Atkins, IA,
Atlanta, GA,97.4%
Atlantic Beach, FL,
Atlantic Beach, NC,91.7%
Atlantic Beach, NY,96.0%
Atlantic Beach, SC,
Atlantic City, NJ,92.1%
Atlantic Highlands, NJ,103.4%
Atlantis, FL,
Attica, OH,
Attleboro, MA,101.7%
Atwater, CA,
Auburn Hills, MI,100.5%
Auburn, AL,97.7%
Auburn, CA,
Auburn, IN,
Auburn, MA,103.4%
Auburn, ME,99.8%
Auburn, MI,
Auburn, WA,96.8%
Augusta-Richmond County consolidated government (balance), GA,96.8%
Augusta-Richmond County, GA,96.8%
Augusta, ME,100.0%
Augusta, MI,
Ault, CO,
Aurora, CO,98.5%
Aurora, IL,99.2%
Aurora, NY,98.6%
Aurora, OH,97.5%
Austell, GA,
Austin, MN,
Austin, TX,97.1%
Austintown, OH,100.1%
Auxvasse, MO,
Avalon, CA,
Avalon, NJ,96.8%
Avalon, PA,97.7%
Ave Maria, FL,94.0%
Aventura, FL,93.5%
Avila Beach, CA,100.0%
Avilla, IN,
Avoca, IA,
Avocado Heights, CA,102.9%
Avon Lake, OH,100.0%
Avon Park, FL,
Avon-By-the-Sea, NJ,
Avon, CO,95.2%
Avon, IN,99.7%
Avon, MA,99.8%
Avon, NC,
Avon, OH,103.7%
Avondale Estates, GA,
Ayer, MA,
Azalea Park, FL,
Azle, TX,
Azusa, CA,100.0%
Babylon, NY,101.9%
Baden, PA,
Bailey's Crossroads, VA,99.6%
Bainbridge Island, WA,97.4%
Bainbridge, GA,
Bainbridge, OH,
Baiting Hollow, NY,
Bakersfield, CA,98.9%
Bal Harbour, FL,90.9%
Bala Cynwyd, PA,96.8%
Bald Head Island, NC,
Baldwin Park, CA,101.3%
Baldwin, NY,
Baldwin, PA,
Baldwinsville, NY,
Ballenger Creek, MD,100.0%
Ballston Spa, NY,99.9%
Ballston, NY,99.0%
Ballville, OH,100.0%
Ballwin, MO,98.4%
Balmville, NY,
Baltic, CT,
Baltimore, MD,96.8%
Baneberry, TN,99.0%
Bangor, ME,102.9%
Bangor, NY,
Banning, CA,100.0%
Baraboo, WI,
Barberton, OH,95.7%
Barberton, WA,
Barboursville, WV,
Bardmoor, FL,93.5%
Bardonia, NY,
Bardstown, KY,97.9%
Barnegat Light, NJ,
Barnegat, NJ,103.7%
Barnhart, MO,
Barnstable Town, MA,
Barnstable, MA,
Barnum Island, NY,
Barre, VT,
Barrington, IL,97.7%
Barrington, RI,
Bartlesville, OK,
Bartlett, IL,99.3%
Bartlett, TN,101.0%
Barton Creek, TX,
Bartonsville, MD,
Basalt, CO,98.6%
Basking Ridge, NJ,
Batavia, IL,
Batavia, OH,
Batesville, AR,
Bath, ME,
Bath, MI,
Baton Rouge, LA,95.2%
Battle Creek, MI,96.5%
Battle Ground, WA,101.7%
Baxter Estates, NY,100.6%
Bay City, MI,97.6%
Bay Harbor Islands, FL,90.3%
Bay Head, NJ,
Bay Hill, FL,
Bay Pines, FL,
Bay Point, CA,
Bay Shore, NY,99.1%
Bay St. Louis, MS,98.8%
Bay Village, OH,
Bayonet Point, FL,97.7%
Bayonne, NJ,98.6%
Bayport, NY,100.2%
Bayshore Gardens, FL,87.1%
Bayshore, OR,96.6%
Bayside, WI,
Baytown, TX,
Bayville, NY,
Beach Haven, NJ,95.8%
Beach Park, IL,
Beachwood, OH,99.5%
Beacon Hill, WA,
Beacon Square, FL,94.3%
Beacon, NY,98.9%
Bealeton, VA,100.2%
Bear Creek, FL,90.0%
Bear Valley Springs, CA,100.0%
Bear, DE,
Beaufort, NC,106.7%
Beaufort, SC,95.9%
Beaumont, CA,98.0%
Beaumont, TX,
Beaver Dam, WI,99.3%
Beaver Falls, PA,
Beaver, PA,98.7%
Beavercreek, OH,99.0%
Beaverton, OR,99.3%
Beckett Ridge, OH,100.0%
Bedford Heights, OH,
Bedford Hills, NY,
Bedford, IN,
Bedford, MA,102.9%
Bedford, OH,
Bedford, TX,98.5%
Bee Cave, TX,
Bee Ridge, FL,98.5%
Beebe, AR,
Beech Grove, IN,
Beech Mountain, NC,96.4%
Beechwood, MI,
Beekman, NY,94.4%
Bel Air North, MD,97.1%
Bel Air South, MD,103.7%
Bel Air, MD,103.5%
Belchertown, MA,
Belding, MI,
Belford, NJ,95.2%
Belgium, WI,100.0%
Belgrade, MT,
Belhaven, NC,
Bell Gardens, CA,101.1%
Bell, CA,
Bella Vista, AR,
Bellair-Meadowbrook Terrace, FL,
Bellbrook, OH,
Belle Haven, VA,
Belle Isle, FL,
Belle Meade, TN,
Belle Plaine, IA,
Belle Vernon, PA,
Belleair Beach, FL,89.3%
Belleair Bluffs, FL,96.3%
Belleair, FL,100.9%
Bellefontaine, OH,99.2%
Bellemeade, KY,97.7%
Belleville, IL,101.4%
Belleville, MI,
Belleville, WI,99.1%
Bellevue, KY,
Bellevue, NE,100.2%
Bellevue, OH,96.9%
Bellevue, PA,
Bellevue, WA,98.3%
Bellevue, WI,
Bellflower, CA,98.5%
Bellingham, MA,114.0%
Bellingham, WA,99.5%
Bellmore, NY,
Bellview, FL,
Bellville, OH,
Bellwood, IL,
Belmar, NJ,98.5%
Belmont, CA,99.3%
Belmont, MA,101.3%
Belmont, NC,100.0%
Belmont, NH,
Belmont, VA,
Beloit, WI,97.6%
Belpre, OH,87.1%
Beltsville, MD,101.0%
Belvedere Park, GA,
Belvidere, IL,
Belvidere, NJ,
Bemidji, MN,
Bemus Point, NY,93.6%
Benbrook, TX,
Bend, OR,98.2%
Benicia, CA,102.4%
Bennett, CO,
Bennington, VT,
Benns Church, VA,101.3%
Bensalem, PA,
Bensenville, IL,96.4%
Bensley, VA,95.8%
Benton Harbor, MI,
Benton, AR,
Bentonville, AR,100.0%
Berea, OH,104.1%
Berea, SC,100.0%
Bergenfield, NJ,
Berkeley, CA,104.0%
Berkley, CO,93.6%
Berkley, MA,
Berkley, MI,
Berkshire Lakes, FL,92.3%
Berlin, MA,
Berlin, NH,
Berlin, NJ,109.0%
Bermuda Dunes, CA,96.7%
Bermuda Run, NC,100.0%
Berry Hill, TN,
Berthoud, CO,
Berwick, ME,102.5%
Berwyn, IL,96.4%
Bethalto, IL,
Bethany, OK,
Bethany, OR,
Bethel Island, CA,
Bethel Park, PA,
Bethel, CT,103.5%
Bethel, VT,
Bethesda, MD,98.1%
Bethlehem, PA,102.8%
Bethpage, NY,93.6%
Bettendorf, IA,97.8%
Beulah, MI,
Beverly Beach, FL,
Beverly Hills, CA,97.5%
Beverly Hills, FL,
Beverly Hills, MI,
Beverly, MA,103.3%
Bexley, OH,
Biddeford, ME,
Big Bear Lake, CA,96.0%
Big Coppitt Key, FL,101.6%
Big Lake, AK,
Big Sky, MT,
Bigfork, MT,
Billerica, MA,103.2%
Billings, MT,
Biloxi, MS,97.4%
Bingham Farms, MI,97.6%
Binghamton, NY,
Birch Bay, WA,98.5%
Birch Run, MI,
Birmingham, AL,98.3%
Birmingham, MI,99.8%
Bisbee, AZ,
Bismarck, ND,98.6%
Black Butte Ranch, OR,
Black Diamond, WA,
Black Earth, WI,
Black Mountain, NC,
Blacklake, CA,100.0%
Blacklick Estates, OH,
Blacksburg, VA,96.4%
Blackstone, MA,101.5%
Bladensburg, MD,109.4%
Blaine-Birch Bay, WA,97.9%
Blaine, WA,97.2%
Blair, NE,97.5%
Blanchard, ID,93.5%
Blennerhassett, WV,
Bloomer, WI,
Bloomfield Hills, MI,96.4%
Blooming Grove, NY,100.0%
Bloomingdale, FL,
Bloomingdale, IL,99.3%
Bloomingdale, NJ,
Bloomington, IL,99.2%
Bloomington, IN,98.1%
Bloomington, MN,99.0%
Blowing Rock, NC,99.3%
Blue Ash, OH,99.3%
Blue Bell, PA,
Blue Grass, IA,94.9%
Blue Island, IL,93.8%
Blue Point, NY,100.0%
Blue Ridge Manor, KY,90.2%
Blue River, CO,
Blue Springs, MO,
Bluff City, TN,
Bluffdale, UT,99.0%
Bluffton, IN,
Bluffton, OH,100.0%
Bluffton, SC,98.3%
Blythe, CA,100.0%
Boardman, OH,99.4%
Boca Raton, FL,93.1%
Bodfish, CA,
Boerne, TX,
Bogota, NJ,
Bohemia, NY,
Bohners Lake, WI,97.2%
Boiling Springs, SC,
Boise, ID,97.1%
Bokeelia, FL,
Bolingbrook, IL,95.5%
Bolivar, MO,
Bolton Landing, NY,100.0%
Bolton Ma, MA,
Bolton Valley, VT,
Bolton, NY,
Bon Air, VA,
Bondurant, IA,
Bonita Springs, FL,95.5%
Bonita, CA,100.0%
Bonne Terre, MO,
Bonney Lake, WA,
Bonsall, CA,100.5%
Boone, IA,97.4%
Boone, NC,99.2%
Boonville, MO,
Boothwyn, PA,
Bordentown, NJ,
Borrego Springs, CA,100.0%
Bossier City, LA,100.0%
Boston, MA,98.5%
Boston, NY,
Bostonia, CA,97.9%
Bothell East, WA,
Bothell West, WA,98.6%
Bothell, WA,97.7%
Boulder City, NV,93.6%
Boulder Creek, CA,
Boulder Hill, IL,
Boulder, CO,98.9%
Boulevard Park, WA,99.1%
Bountiful, UT,98.3%
Bourbonnais, IL,
Bourne, MA,
Bowie, MD,99.2%
Bowleys Quarters, MD,
Bowling Green, MD,
Bowling Green, OH,94.9%
Boxborough, MA,98.2%
Boxford, MA,
Boyertown, PA,
Boyes Hot Springs, CA,99.1%
Boylston, MA,99.2%
Boynton Beach, FL,93.2%
Bozeman, MT,
Bradenton Beach, FL,97.0%
Bradenton, FL,96.2%
Bradfordville, FL,
Bradley Beach, NJ,105.8%
Bradley, IL,
Braintree Town, MA,99.9%
Braintree, MA,99.9%
Brambleton, VA,100.0%
Brandenburg, KY,96.6%
Brandermill, VA,102.7%
Brandon, FL,99.7%
Brandon, MS,
Brandon, VT,
Brandywine Bay, NC,98.2%
Branford Center, CT,101.3%
Branson, MO,
Bratenahl, OH,
Brawley, CA,
Brazil, IN,
Brea, CA,101.3%
Breckenridge, CO,97.8%
Brecksville, OH,98.3%
Breese, IL,
Breezy Point, MN,97.3%
Breinigsville, PA,
Bremen, IN,
Bremerton, WA,101.0%
Brentwood, MO,97.7%
Brentwood, TN,
Brevard, NC,100.0%
Brewerton, NY,
Brewster Heights, NY,104.6%
Brewster, MA,
Brewster, NY,
Brian Head, UT,101.3%
Briarcliff Manor, NY,
Briarcliff, TX,
Briarwood, KY,100.0%
Brice Prairie, WI,
Bridgehampton, NY,100.0%
Bridgeport, CT,100.4%
Bridgeport, WV,
Bridger, MT,
Bridgeton, MO,94.8%
Bridgetown, OH,98.7%
Bridgeview, IL,94.1%
Bridgeville, PA,99.3%
Bridgewater Town, MA,100.4%
Bridgewater, MA,
Bridgewater, NJ,
Bridgewater, PA,
Bridgman, MI,
Bridgton, ME,98.0%
Brielle, NJ,106.7%
Brigantine, NJ,97.8%
Brigham City, UT,
Bright, IN,100.0%
Brighton, CO,100.0%
Brighton, MI,98.2%
Brighton, NY,109.0%
Brighton, UT,
Brillion, WI,102.8%
Brinckerhoff, NY,104.4%
Briny Breezes, FL,
Brisbane, CA,99.3%
Bristol, CT,104.1%
Bristol, NH,97.0%
Bristol, PA,104.2%
Bristol, RI,107.7%
Bristol, TN,99.6%
Bristol, VA,92.2%
Bristol, WI,
Brittany Farms-the Highlands, PA,
Broad Brook, CT,106.8%
Broadlands, VA,
Broadmoor, CA,
Broadview Heights, OH,103.3%
Broadview, IL,
Brockport, NY,
Brockton, MA,103.2%
Brodhead, WI,
Broken Arrow, OK,100.0%
Bronxville, NY,101.0%
Brook Highland, AL,100.7%
Brook Park, OH,
Brookdale, NJ,
Brookfield Center, CT,
Brookfield Ma, MA,102.1%
Brookfield, IL,
Brookfield, MA,
Brookfield, NJ,
Brookfield, NY,
Brookfield, WI,97.8%
Brookhaven, GA,98.6%
Brookhaven, NY,
Brookhaven, PA,103.1%
Brookings, OR,
Brookline, MA,98.6%
Brooklyn Center, MN,
Brooklyn Park, MN,95.8%
Brooklyn, CT,
Brooklyn, MI,100.0%
Brooklyn, WI,
Brookside, DE,
Brooksville, FL,
Broomall, PA,
Broomfield, CO,97.7%
Brothertown, WI,97.3%
Brown Deer, WI,94.5%
Browns Lake, WI,87.7%
Browns Point, WA,
Brownsboro Village, KY,
Brownsburg, IN,95.3%
Brownsville, FL,
Brownsville, TN,
Brownsville, TX,
Brownville, NJ,102.9%
Brownwood, TX,98.1%
Brunswick Station, ME,
Brunswick, GA,
Brunswick, ME,98.5%
Brunswick, NY,
Brunswick, OH,100.1%
Brushy Creek, TX,
Bryan, TX,
Bryant, AR,
Bryn Mawr-Skyway, WA,
Bryn Mawr, PA,
Buchanan, MI,
Buchanan, NY,
Buckeye Lake, OH,
Buckhall, VA,
Buckner, KY,102.4%
Bucyrus, OH,
Buda, TX,
Buellton, CA,96.0%
Buena Park, CA,97.0%
Buena Vista, CA,
Buffalo Grove, IL,97.9%
Buffalo, MN,92.9%
Buffalo, NY,101.1%
Buford, GA,98.0%
Bull Run, VA,91.9%
Bullhead City, AZ,97.8%
Bunnell, FL,81.3%
Burbank, CA,102.4%
Burbank, IL,102.1%
Burien, WA,95.9%
Burke Centre, VA,100.0%
Burke, VA,100.0%
Burley, ID,
Burlingame, CA,95.0%
Burlington, IL,97.2%
Burlington, KY,98.4%
Burlington, MA,
Burlington, NC,99.7%
Burlington, NJ,
Burlington, OH,
Burlington, VT,98.2%
Burlington, WA,100.0%
Burlington, WI,94.3%
Burneyville, OK,
Burnham, IL,
Burnsville, MN,97.7%
Burnt Store Marina, FL,96.2%
Burr Ridge, IL,97.3%
Burrillville, RI,98.6%
Burton, MI,98.9%
Burton, OH,
Burton, SC,
Burtonsville, MD,
Busti, NY,
Butler Beach, FL,91.9%
Butler, NJ,
Butler, PA,
Butler, WI,100.0%
Butte-Silver Bow (balance), MT,
Buzzards Bay, MA,96.0%
Byram, CT,
Byron Center, MI,99.7%
Byron, IL,101.0%
Cabana Colony, FL,91.2%
Cabin John, MD,
Cadillac, MI,99.1%
Cadott, WI,
Calabasas, CA,94.9%
Calabash, NC,99.1%
Caldwell, NJ,104.3%
Caledonia, MI,
Caledonia, WI,99.1%
Calexico, CA,
Calhoun, GA,
California,,99.7%
California City, CA,
California Polytechnic State University, CA,
California, MD,97.9%
California, MO,
Calimesa, CA,
Calumet City, IL,100.0%
Calverton, MD,89.8%
Calverton, NY,100.3%
Camanche, IA,
Camano, WA,
Camarillo, CA,99.8%
Camas, WA,99.3%
Cambria, CA,96.2%
Cambridge, IL,
Cambridge, KY,99.2%
Cambridge, MA,98.8%
Cambridge, MD,96.0%
Cambridge, MN,96.6%
Cambridge, WI,96.7%
Camden, NJ,
Cameron Park, CA,
Camillus, NY,100.0%
Camp Lake, WI,
Camp Springs, MD,
Campbell, CA,100.4%
Campbell, OH,
Campbellsport, WI,
Campbelltown, PA,
Canaan, CT,
Canadian Lakes, MI,
Canal Fulton, OH,100.0%
Canal Winchester, OH,98.9%
Canandaigua, NY,
Canby, OR,
Candler-McAfee, GA,
Canfield, OH,
Cannon Beach, OR,95.2%
Cannon Falls, MN,
Ca?on City, CO,98.9%
Canonsburg, PA,100.0%
Canterwood, WA,100.0%
Canton Valley, CT,99.5%
Canton, GA,97.1%
Canton, IL,
Canton, MA,102.0%
Canton, OH,96.7%
Canyon Lake, CA,95.2%
Canyon Lake, TX,
Capac, MI,100.5%
Cape Canaveral, FL,96.1%
Cape Coral, FL,91.8%
