city,state,singel_family
Aaronsburg, PA,97.7%
Abbeville, AL,82.1%
Abbeville, LA,97.4%
Abbotsford, WI,88.1%
Abbottstown, PA,102.2%
Abbs Valley, VA,
Abercrombie, ND,
Aberdeen, ID,
Aberdeen, IN,96.7%
Aberdeen, MD,99.9%
Aberdeen, NC,99.2%
Aberdeen, OH,
Aberdeen, SD,98.5%
Aberdeen, WA,96.1%
Abernathy, TX,
Abilene, TX,97.0%
Abingdon, IL,96.7%
Abingdon, MD,97.1%
Abingdon, VA,98.4%
Abington, MA,101.0%
Abita Springs, LA,95.8%
Abrams, WI,
Absarokee, MT,
Absecon Highlands, NJ,
Absecon, NJ,102.0%
Acacia Villas, FL,
Acalanes Ridge, CA,95.7%
Acampo, CA,
Accokeek, MD,97.8%
Accord, NY,87.3%
Accoville, WV,
Achille, OK,
Ackermanville, PA,
Ackworth, IA,
Acres Green, CO,100.8%
Acton, CA,100.4%
Acton, MA,101.7%
Acushnet Center, MA,107.6%
Acushnet, MA,102.2%
Acworth, GA,98.7%
Ada, OK,96.9%
Adair Village, OR,99.3%
Adair, IL,96.2%
Adairsville, GA,99.0%
Adams Center, NY,96.4%
Adams Run, SC,
Adams, MA,109.1%
Adams, MN,97.1%
Adams, NE,100.0%
Adams, NY,97.6%
Adams, OK,
Adams, OR,88.7%
Adams, TN,
Adamsburg, PA,
Adamstown, MD,99.8%
Adamstown, PA,102.5%
Adamsville, AL,99.1%
Adamsville, OH,
Adamsville, PA,
Addis, LA,97.8%
Addison, IL,100.5%
Addison, MI,
Addison, NY,
Addison, PA,
Addison, TX,99.6%
Addy, WA,
Addyston, OH,
Adel, IA,98.8%
Adelanto, CA,100.5%
Adeline, IL,
Adell, WI,
Adelphi, MD,99.6%
Adelphi, OH,
Adena, OH,
Admire, KS,
Adona, AR,
Adrian, GA,
Adrian, MI,96.3%
Adrian, MN,98.9%
Adrian, MO,
Adrian, OR,
Adrian, TX,
Advance, IN,
Advance, NC,95.5%
Affton, MO,102.5%
Afton, MN,98.4%
Afton, OK,
Afton, VA,
