city,state,townhouse
Abbottstown, PA,
Aberdeen, IN,
Aberdeen, MD,100.0%
Aberdeen, NC,100.0%
Abilene, TX,96.2%
Abingdon, MD,
Abingdon, VA,
Abington, MA,103.0%
Absecon, NJ,103.2%
Accokeek, MD,101.2%
Acton, MA,101.7%
Acworth, GA,98.6%
Ada, OK,
Adairsville, GA,98.7%
Adamstown, MD,
Adamstown, PA,
Addis, LA,
Addison, IL,108.2%
Addison, TX,98.8%
Adel, IA,100.0%
Advance, NC,
Agawam Town, MA,102.4%
Agawam, MA,102.4%
Agoura Hills, CA,100.6%
Aiken, SC,100.0%
Akron, OH,
Akron, PA,
Alabama,,99.7%
Alabaster, AL,99.0%
Alachua, FL,
Alafaya, FL,98.8%
Alameda, CA,109.8%
Alamo Heights, TX,95.6%
Alamo, CA,
Albany, CA,
Albany, NY,100.0%
Albemarle, NC,
Albert Lea, MN,
Albertville, MN,
Alburtis, PA,100.4%
Alcoa, TN,97.1%
Aldan, PA,100.0%
Alderwood Manor, WA,100.0%
Aledo, IL,
Aledo, TX,
Alexander City, AL,96.3%
Alexandria, KY,
Alexandria, MN,98.2%
Alexandria, VA,99.8%
Algonquin, IL,100.0%
Algood, TN,
Alhambra, CA,
Alice, TX,
Aliquippa, PA,97.1%
Aliso Viejo, CA,98.7%
Allen, TX,97.1%
Allendale, NJ,109.1%
Allentown, NJ,
Allentown, PA,100.8%
Allison Park, PA,99.0%
Allouez, WI,
Aloha, OR,101.1%
Alondra Park, CA,
Alpharetta, GA,98.3%
Alpine, CA,
Alpine, UT,97.8%
Alsip, IL,100.0%
Altadena, CA,104.2%
Altamont, NY,
Altamont, PA,101.6%
Altamonte Springs, FL,96.1%
Altoona, IA,
Altoona, PA,
Altus, OK,
Alvin, TX,
Ambler, PA,
Ambridge, PA,
Amelia, OH,
American Fork, UT,99.9%
Americus, GA,
Ames, IA,98.1%
Amesbury Town, MA,102.6%
Amesbury, MA,102.6%
Amherst Center, MA,
Amherst Town, MA,100.0%
Amherst, NH,
Amherst, NY,100.2%
Amherst, VA,
Ammon, ID,
Anacortes, WA,98.1%
Anaheim, CA,100.9%
Anchorage, AK,
Ancient Oaks, PA,101.9%
Anderson Creek, NC,
Anderson Township, OH,100.0%
Anderson, SC,
Andover, KS,106.9%
Andover, MA,99.9%
Andover, MN,96.8%
Angier, NC,100.0%
Angola, IN,
Ankeny, IA,100.0%
Ann Arbor, MI,
Annandale, MN,100.0%
Annandale, VA,101.6%
Annapolis Neck, MD,
Annapolis, MD,102.6%
Anniston, AL,
Annville, PA,102.0%
Anoka, MN,98.8%
Antelope, CA,
Anthem, AZ,
Anthony, TX,
Antioch, CA,102.6%
Antioch, IL,101.5%
Apache Junction, AZ,96.9%
Apex, NC,98.6%
Apollo Beach, FL,99.6%
Apopka, FL,102.2%
Apple Valley, CA,
Apple Valley, MN,99.1%
Appleton, WI,97.5%
Applewood, CO,
Aptos, CA,
Arab, AL,
Arbutus, MD,104.4%
Arcadia, CA,101.9%
Archbald, PA,94.9%
Archdale, NC,101.5%
Arcola, VA,98.5%
Arden Hills, MN,100.5%
Arden-Arcade, CA,100.4%
Ardmore, OK,
Ardmore, PA,102.6%
Arendtsville, PA,
Aristes, PA,
Arizona,,98.0%
Arizona City, AZ,101.6%
Arkansas,,98.1%
Arlington Heights, IL,99.9%
Arlington Heights, PA,
Arlington, MA,100.0%
Arlington, TX,92.5%
Arlington, VA,99.4%
Arlington, WA,100.0%
Arnold, MD,100.3%
Arnolds Park, IA,97.2%
Aroma Park, IL,
Arroyo Grande, CA,
Artesia, CA,
Artesia, NM,
Artondale, WA,
Arvada, CO,99.3%
Asbury Lake, FL,100.0%
Asbury Park, NJ,
Asbury, IA,
Ashburn, VA,100.7%
Asheboro, NC,101.2%
Asheville, NC,97.7%
Ashland City, TN,
Ashland, CA,104.6%
Ashland, MA,103.8%
Ashland, NE,
Ashland, NH,
Ashland, NJ,108.9%
Ashland, OH,
Ashland, OR,
Ashland, PA,90.3%
Ashland, VA,98.5%
Ashley, PA,
Ashtabula, OH,
Ashton-Sandy Spring, MD,100.0%
Ashwaubenon, WI,
Aspen Hill, MD,107.3%
Aspen, CO,
Astoria, OR,
Atascadero, CA,100.0%
Atascocita, TX,100.1%
Atco, NJ,96.7%
Athens, AL,100.4%
Athens, OH,
Athens, TN,99.7%
Athol, MA,
Atlanta, GA,98.8%
Atlanta, IL,
Atlantic Beach, FL,96.2%
Atlantic Beach, NC,
Atlantic Beach, NY,
Atlantic City, NJ,98.1%
Atlantis, FL,
Atlas, PA,
Attleboro, MA,101.2%
Atwater, MN,
Auburn, AL,101.2%
Auburn, CA,97.6%
Auburn, GA,100.8%
Auburn, IL,
Auburn, MA,
Auburn, ME,
Auburn, PA,
Auburn, WA,100.7%
Audubon, NJ,
Augusta-Richmond County consolidated government (balance), GA,98.0%
Augusta-Richmond County, GA,98.0%
Augusta, KS,
Ault, CO,103.2%
Aumsville, OR,98.3%
Aurora, CO,99.4%
Aurora, IL,99.6%
Aurora, NY,
Aurora, OH,
Austell, GA,100.0%
Austin, MN,99.1%
Austin, TX,96.5%
Avalon, NJ,
Avalon, PA,
Ave Maria, FL,
Avenel, NJ,
Aventura, FL,88.4%
Averill Park, NY,
Avery Creek, NC,
Avila Beach, CA,
Avimor, ID,
Avon Lake, OH,
Avon Park, FL,
Avon, CO,97.2%
Avon, IN,98.7%
Avon, MA,
Avon, NY,
Avon, OH,96.0%
Avon, PA,
Avondale Estates, GA,
Avondale, AZ,
Avondale, PA,
Ayer, MA,100.2%
Azalea Park, FL,97.8%
Azle, TX,
Azusa, CA,108.6%
Babylon, NY,
Baden, PA,
Badin, NC,94.3%
Bagdad, FL,
Bailey's Crossroads, VA,100.6%
Bainbridge Island, WA,100.0%
Baker, LA,93.2%
Bakersfield, CA,
Bakerstown, PA,
Bala Cynwyd, PA,103.1%
Bald Head Island, NC,
Baldwin City, KS,113.6%
Baldwin Park, CA,101.0%
Baldwin, NY,
Baldwin, PA,99.5%
Baldwin, WI,
Baldwinsville, NY,109.4%
Baldwinville, MA,
Ball Ground, GA,
Ballenger Creek, MD,101.3%
Ballston Spa, NY,101.4%
Ballston, NY,100.0%
Bally, PA,101.8%
Baltimore Highlands, MD,
Baltimore, MD,102.3%
Bandon, OR,
Baneberry, TN,
Bangor, ME,100.0%
Bangor, PA,98.0%
Baraboo, WI,104.4%
Barberton, OH,100.0%
Barberton, WA,
Barboursville, WV,
Bardmoor, FL,97.3%
Bardstown, KY,
Bargaintown, NJ,
Barnegat Light, NJ,
Barnegat, NJ,104.6%
Barnstable Town, MA,95.5%
Barnstable, MA,95.5%
Barnum Island, NY,
Barre, MA,
Barrington Hills, IL,
Barrington, IL,98.4%
Bartlesville, OK,
Bartlett, IL,100.5%
Bartlett, TN,96.9%
Bartonsville, MD,
Bartonville, IL,
Bartow, FL,
Basalt, CO,99.7%
Basehor, KS,
Bass Lake, CA,
Batavia, IL,102.0%
Batesville, AR,
Bath, ME,
Bath, PA,
Baton Rouge, LA,98.5%
Battle Ground, WA,100.0%
Battlement Mesa, CO,
Baumstown, PA,
Baxter Village, SC,99.5%
Baxter, MN,
Baxter, TN,100.0%
Bay City, TX,93.9%
Bay Harbor Islands, FL,
Bay Hill, FL,98.8%
Bay Minette, AL,
Bay Point, CA,
Bay Shore, NY,
Bay Village, OH,
Bay, AR,
Bayfield, CO,
Bayonne, NJ,
Bayou Cane, LA,95.7%
Bayport, MN,
Bayshore Gardens, FL,100.0%
Bayshore, NC,
Baytown, TX,
Beach Haven West, NJ,
Beach Haven, NJ,
Beach Park, IL,
Beachwood, OH,
Beacon Square, FL,
Beacon, NY,100.0%
Bealeton, VA,
Bear Creek, FL,
Bear, DE,100.6%
Beatrice, NE,
Beaufort, NC,
Beaufort, SC,84.2%
Beaumont, TX,
Beaver Dam, WI,
Beaver Falls, PA,
Beaver Meadows, PA,103.6%
Beaver, PA,
Beavercreek, OH,
Beaverton, OR,100.7%
Bechtelsville, PA,
Becker, MN,
Beckett Ridge, OH,
Beckett, NJ,
Bedford, MA,92.0%
Bedford, TX,94.5%
Bedford, VA,100.0%
Bee Ridge, FL,
Beech Bottom, WV,
Beech Mountain, NC,
Beecher, IL,93.0%
Beekman, NY,
Beeville, TX,
Bel Air North, MD,102.3%
Bel Air South, MD,99.3%
Bel Air, MD,99.1%
Bel Aire, KS,95.0%
Belchertown, MA,
Belfast, PA,
Belgrade, MT,
Bell Gardens, CA,
Bella Vista, AR,97.5%
Bellair-Meadowbrook Terrace, FL,100.0%
Bellaire, TX,99.2%
Belle Chasse, LA,
Belle Haven, VA,100.0%
Belle Isle, FL,
Belle Mead, NJ,
Belle Plaine, MN,96.7%
Belleair, FL,
Bellefonte, PA,
Bellemont, AZ,98.9%
Bellerose Terrace, NY,
Belleville, WI,
Bellevue, ID,
Bellevue, NE,95.3%
Bellevue, PA,
Bellevue, WA,97.6%
Bellevue, WI,100.0%
Bellflower, CA,
Bellingham, MA,100.0%
Bellingham, WA,98.6%
Bellmawr, NJ,96.8%
Bellview, FL,100.2%
Bellville, TX,
Bellwood, IL,
Belmont, CA,
Belmont, MA,108.4%
Belmont, NC,97.2%
Belmont, VA,101.1%
Beloit, WI,
Belton, MO,
Belton, TX,
Beltsville, MD,102.7%
Belvedere Park, GA,100.0%
Belvidere, IL,
Bemidji, MN,97.5%
Ben Avon, PA,
Ben Avon, SC,
Benbrook, TX,94.0%
Bend, OR,100.7%
Benicia, CA,100.5%
Benjamin, UT,
Bennett, CO,
Bennington, NE,99.1%
Bennington, VT,
Benns Church, VA,100.0%
Bensalem, PA,100.5%
Bensenville, IL,
Bensville, MD,
Bentley, KS,
Bentonville, AR,100.1%
Berea, OH,
Berea, SC,96.4%
Beresford, SD,
Bergenfield, NJ,
Berkeley, CA,
Berkeley, IL,
Berkley, CO,100.0%
Berkley, MA,
Berlin, MA,
Berlin, NJ,102.9%
Bermuda Run, NC,
Bernardsville, NJ,
Bernville, PA,
Berry Hill, TN,
Berryville, VA,
Berthoud, CO,99.1%
Berwyn, PA,96.9%
Bessemer, AL,100.1%
Bethany, OR,98.4%
Bethel Park, PA,94.2%
Bethesda, MD,107.7%
Bethlehem, NH,
Bethlehem, NY,103.6%
Bethlehem, PA,100.6%
Bettendorf, IA,97.6%
Beverly Hills, CA,
Beverly Hills, FL,
Beverly, MA,99.4%
Beverly, NJ,98.8%
Big Coppitt Key, FL,
Big Lake, MN,100.0%
Big Sky, MT,
Bigfork, MT,
Billerica, MA,
Billings, MT,
Biloxi, MS,
Biltmore Forest, NC,
Binghamton, NY,
Birch Bay, WA,
Birdsboro, PA,100.0%
Birmingham, AL,100.5%
Bisbee, AZ,
Bismarck, ND,98.7%
Black Diamond, WA,100.0%
Black Earth, WI,
Black Mountain, NC,
Blackhawk, CA,97.3%
Blacksburg, VA,100.2%
Blackstone, MA,
Blackwood, NJ,
Bladensburg, MD,
Blaine-Birch Bay, WA,96.7%
Blaine, MN,100.3%
Blaine, WA,96.7%
Blair, NE,
Blairsville, PA,
Blanchard, ID,
Blandon, PA,
Blawnox, PA,
Bliss Corner, MA,93.3%
Bloomfield, NM,
Blooming Grove, NY,100.0%
Bloomingdale, FL,97.2%
Bloomingdale, IL,101.2%
Bloomington, IL,99.6%
Bloomington, IN,98.9%
Bloomington, MN,99.1%
Bloomsburg, PA,94.2%
Blountville, TN,
Blowing Rock, NC,
Blue Ash, OH,99.8%
Blue Bell, PA,105.7%
Blue Grass, IA,
Blue Island, IL,
Blue River, CO,
Blue Springs, MO,
Bluff City, TN,
Bluffdale, UT,99.2%
Bluffton, SC,98.4%
Blythe, CA,
Boalsburg, PA,
Boardman, OR,
Boaz, AL,
Boca Raton, FL,97.1%
Boerne, TX,
Bogota, NJ,99.3%
Bohemia, NY,
Boiling Springs, NC,
Boiling Springs, SC,
Boise, ID,99.3%
Bolingbrook, IL,99.5%
Bolivar, WV,100.7%
Bolton Landing, NY,
Bolton Ma, MA,
Bolton, NY,
Bon Air, VA,97.0%
Bonham, TX,
Bonita Springs, FL,95.2%
Bonita, CA,
Bonneauville, PA,96.9%
Bonner Springs, KS,
Bonney Lake, WA,
Bono, AR,
Bonsall, CA,
Boone, IA,
Boone, NC,100.0%
Boonsboro, MD,104.9%
Boonville, IN,
Boothwyn, PA,100.0%
Bordentown, NJ,105.2%
Bossier City, LA,95.1%
Boston, MA,99.8%
Boston, NY,
Bostonia, CA,99.2%
Boswell's Corner, VA,
Bothell East, WA,100.0%
Bothell West, WA,100.0%
Bothell, WA,103.0%
Boulder City, NV,99.3%
Boulder Creek, CA,
Boulder Hill, IL,97.0%
Boulder, CO,97.3%
Boulevard Park, WA,
Bountiful, UT,94.9%
Bourbonnais, IL,102.2%
Bourne, MA,
Bowers, DE,
Bowers, PA,
Bowie, MD,101.0%
Bowleys Quarters, MD,94.1%
Bowling Green, KY,
Bowmansville, PA,
Box Elder, SD,
Boxborough, MA,
Boxford, MA,
Boyertown, PA,99.4%
Boyes Hot Springs, CA,
Boylston, MA,
Boynton Beach, FL,95.7%
Bozeman, MT,
Brackenridge, PA,
Bradenton Beach, FL,
Bradenton, FL,
Bradford Woods, PA,
Bradford, NH,
Bradfordville, FL,
Bradley Gardens, NJ,
Braham, MN,
Braidwood, IL,95.3%
Brainerd, MN,
Braintree Town, MA,97.6%
Braintree, MA,97.6%
Brambleton, VA,100.1%
Branchdale, PA,67.7%
Brandermill, VA,
Brandon, FL,99.4%
Brandon, MS,
Brandon, SD,
Brandywine Bay, NC,100.0%
Brandywine, MD,99.6%
Branson, MO,
Brant, NY,
Braselton, GA,96.2%
Brea, CA,97.7%
Breckenridge, CO,
Brecksville, OH,
Breezy Point, MN,
Breinigsville, PA,101.8%
Bremen, GA,102.2%
Bremerton, WA,
Brenham, TX,
Brent, FL,
Brentwood, CA,102.2%
Brentwood, MD,
Brentwood, PA,
Brentwood, TN,98.1%
Bressler, PA,
Brevard, NC,95.4%
Brewster, MA,
Brian Head, UT,
Briar Chapel, NC,
Briarcliff Manor, NY,97.1%
Bridgeport, NJ,
Bridgeport, PA,96.1%
Bridgeport, WV,95.9%
Bridgeton, NC,
Bridgeton, NJ,100.5%
Bridgetown, OH,
Bridgeview, IL,96.8%
Bridgeville, PA,100.0%
Bridgewater Town, MA,102.6%
Bridgewater, MA,
Bridgewater, NJ,
Bridgewater, PA,
Bridgewater, VA,
Brier, WA,
Brigantine, NJ,99.4%
Brigham City, UT,99.3%
Brighton, CO,100.2%
Brighton, NY,
Brinckerhoff, NY,
Brisbane, CA,
Bristol, NH,
Bristol, PA,103.8%
Bristol, RI,
Bristol, TN,99.8%
Bristol, VA,96.4%
Bristow, VA,99.1%
Brittany Farms-the Highlands, PA,102.5%
Broadlands, VA,99.7%
Broadview Heights, OH,
Broadway, NC,100.0%
Broadway, VA,98.5%
Brock Hall, MD,101.1%
Brockton, MA,96.8%
Broken Arrow, OK,
Bronxville, NY,
Brook Highland, AL,98.3%
Brook Park, OH,
Brookeville, MD,
Brookfield, IL,100.2%
Brookhaven, GA,99.0%
Brookhaven, PA,102.3%
Brookhaven, WV,
Brookings, OR,
Brookland, AR,
Brooklawn, NJ,155.3%
Brookline, MA,99.0%
Brooklyn Center, MN,101.4%
Brooklyn Park, MD,102.2%
Brooklyn Park, MN,97.3%
Brooklyn, WI,
Brookmont, MD,
Brookshire, TX,
Brookside, DE,100.0%
Brooksville, FL,
Brookville, OH,
Broomfield, CO,98.8%
Browns Point, WA,100.0%
Brownsburg, IN,99.2%
Brownstown, PA,
Brownsville, FL,
Brownsville, TX,
Browntown, PA,
Brunswick Station, ME,
Brunswick, GA,
Brunswick, MD,100.2%
Brunswick, ME,110.0%
Brunswick, OH,97.9%
Brush, CO,
Bryan, TX,
Bryans Road, MD,100.0%
Bryant, AR,
Bryn Mawr-Skyway, WA,
Bryn Mawr, PA,104.1%
Buckeye, AZ,
Buckhall, VA,100.0%
Buckhead, GA,
Buckhorn, PA,
Buda, TX,
Budd Lake, NJ,
Buena Park, CA,102.0%
Buena Vista, CA,
Buenaventura Lakes, FL,98.0%
Buffalo Grove, IL,100.0%
Buffalo, MN,102.2%
Buffalo, NY,
Buford, GA,98.1%
Bull Mountain, OR,
Bull Run, VA,102.2%
Bullhead City, AZ,93.8%
Bunker Hill Village, TX,97.6%
Bunnell, FL,
Burbank, CA,100.0%
Burien, WA,100.0%
Burke Centre, VA,101.2%
Burke, VA,101.3%
Burleson, TX,
Burley, ID,100.0%
Burlingame, CA,
Burlington, KY,
Burlington, MA,
Burlington, NC,98.3%
Burlington, ND,
Burlington, NJ,95.6%
Burlington, VT,
Burlington, WA,
Burnettown, SC,
Burneyville, OK,
Burnham, IL,
Burnham, PA,105.9%
Burns Harbor, IN,
Burnsville, MN,98.3%
Burnt Mills, MD,
Burr Ridge, IL,99.7%
Burtonsville, MD,97.5%
Bushnell, IL,
Butler Beach, FL,
Butler, NJ,
Butler, PA,
Butner, NC,
Butte-Silver Bow (balance), MT,
Buzzards Bay, MA,
Byers, CO,
Byron Center, MI,
Byron, GA,
Byron, MN,100.0%
Cabana Colony, FL,
Cabin John, MD,
Cadiz, KY,
Cairo, IL,
Calabasas, CA,98.0%
Calabash, NC,100.0%
Caldwell, ID,98.7%
Caldwell, NJ,109.7%
Calera, AL,101.8%
Calhoun, GA,97.6%
California,,100.8%
California City, CA,
California, MD,101.1%
Callahan, FL,
Callaway, FL,100.0%
Callaway, MD,
Caln, PA,91.2%
Calumet City, IL,
Calumet Park, IL,100.0%
Calverton, MD,86.4%
Calverton, NY,
Camanche, IA,
Camarillo, CA,98.3%
Camas, WA,100.0%
Cambria, IL,
Cambridge, MA,95.3%
Cambridge, MD,98.8%
Cambridge, MN,96.5%
Cambridge, OH,92.3%
Camden, DE,
Camden, NJ,97.0%
Cameron Park, CA,96.9%
Cameron, MO,
Camillus, NY,98.0%
Camino Tassajara, CA,96.6%
Camp Hill, PA,
Camp Springs, MD,98.8%
Camp Verde, AZ,
Campbell, CA,104.0%
Campbellsville, KY,
Campbelltown, PA,102.6%
Campion, CO,100.0%
Canal Fulton, OH,
Canandaigua, NY,
Canby, OR,101.3%
Candler-McAfee, GA,100.5%
Cannon Beach, OR,
Cannon Falls, MN,98.2%
Ca?on City, CO,
Canonsburg, PA,98.4%
Canton, GA,99.8%
Canton, IL,
Canton, MA,99.3%
Canton, NC,
Canyon Lake, CA,100.3%
Canyon Lake, TX,
Cape Canaveral, FL,96.5%
Cape Coral, FL,98.7%
Cape May Court House, NJ,96.6%
Cape May Point, NJ,
Cape May, NJ,101.3%
Cape St. Claire, MD,101.0%
Capitol Heights, MD,99.2%
Captain Cook, HI,
Captiva, FL,
Carbondale, CO,
Carbondale, IL,
Carefree, AZ,100.0%
Carl Junction, MO,
Carl, GA,
Carlisle, MA,
Carlisle, PA,99.0%
Carlsbad, CA,99.6%
Carlstadt, NJ,
Carlton, OR,
Carlyle, IL,
Carmel, IN,98.4%
Carmichael, CA,100.0%
Carmody Hills-Pepper Mill Village, MD,
Carnegie, PA,
Carney, MD,100.8%
Carneys Point, NJ,
Carnot-Moon, PA,98.5%
Carol Stream, IL,99.0%
Carolina Beach, NC,97.3%
Carolina Forest, SC,96.8%
Carolina Shores, NC,
Carpentersville, IL,100.7%
Carpinteria, CA,
Carrboro, NC,100.2%
Carrollton, GA,100.6%
Carrollton, TX,96.0%
Carrollton, VA,
Carrollwood, FL,97.2%
Carson City, NV,97.4%
Carson, CA,100.9%
Carson, IA,
Carter Lake, IA,
Carteret, NJ,
Cartersville, GA,100.0%
Carthage, MO,
Carthage, NC,99.6%
Carthage, NY,
Carver, MA,100.8%
Carver, MN,
Cary, IL,100.6%
Cary, NC,99.1%
Casa Grande, AZ,89.6%
Casas Adobes, AZ,98.5%
Cascade Locks, OR,
Cascade, IA,
Cascades, VA,99.4%
